code_1,code_2
1125074,1125067
1125074,1125071
1125074,1125066
1125074,1125063
1125074,1125061
1125074,1125054
1125074,1125053
1125073,1125066
1125073,1124051
1125073,1125063
1125073,1125061
1125073,1105063
1125073,1125072
1125073,1125058
1125072,1125073
1125072,1125061
1125072,1125053
1125072,1125058
1125072,1125059
1125072,1125055
1125071,1125070
1125071,1125067
1125071,1125074
1125071,1125054
1125070,1124059
1125070,1125067
1125070,1125071
1125067,1124059
1125067,1125070
1125067,1125065
1125067,1125071
1125067,1125066
1125067,1125063
1125067,1125074
1125066,1125067
1125066,1125065
1125066,1124052
1125066,1124051
1125066,1125063
1125066,1125074
1125066,1125073
1125065,1124059
1125065,1125067
1125065,1124052
1125065,1125066
1125065,1124051
1125063,1125067
1125063,1125066
1125063,1125074
1125063,1125073
1125063,1125061
1125061,1125063
1125061,1125074
1125061,1125073
1125061,1125053
1125061,1125072
1125059,1125053
1125059,1125072
1125059,1125058
1125059,1125055
1125058,1125073
1125058,1105063
1125058,1125072
1125058,1125059
1125056,1125054
1125056,1125052
1125056,1125051
1125056,1125055
1125055,1125054
1125055,1125053
1125055,1125052
1125055,1125072
1125055,1125059
1125055,1125056
1125054,1125071
1125054,1125074
1125054,1125053
1125054,1125052
1125054,1125055
1125054,1125056
1125053,1125074
1125053,1125061
1125053,1125054
1125053,1125072
1125053,1125059
1125053,1125055
1125052,1125054
1125052,1125051
1125052,1125055
1125052,1125056
1125051,1125052
1125051,1125056
1124080,1124071
1124080,1124064
1124080,1124063
1124080,1124061
1124080,1124077
1124080,1124079
1124080,1105065
1124079,1123079
1124079,1124071
1124079,1124078
1124079,1124080
1124079,1123058
1124079,1105065
1124079,1105066
1124078,1123079
1124078,1124071
1124078,1124079
1124077,1124063
1124077,1124061
1124077,1124058
1124077,1124080
1124077,1124075
1124077,1105065
1124077,1105062
1124075,1124058
1124075,1124059
1124075,1124077
1124075,1124052
1124075,1105062
1124071,1123074
1124071,1123079
1124071,1124078
1124071,1124064
1124071,1124080
1124071,1124079
1124070,1124069
1124070,1124068
1124070,1124054
1124070,1124053
1124070,1124067
1124069,1123076
1124069,1124070
1124069,1123075
1124069,1124068
1124069,1124066
1124069,1124065
1124068,1124069
1124068,1124070
1124068,1124067
1124068,1124065
1124067,1124070
1124067,1124068
1124067,1124053
1124067,1124065
1124067,1124060
1124066,1124069
1124066,1123075
1124066,1123073
1124066,1124065
1124066,1124064
1124066,1124063
1124066,1124062
1124065,1124069
1124065,1124068
1124065,1124066
1124065,1124067
1124065,1124062
1124065,1124060
1124065,1124057
1124064,1123074
1124064,1124071
1124064,1123073
1124064,1124066
1124064,1124063
1124064,1124080
1124063,1124066
1124063,1124064
1124063,1124062
1124063,1124061
1124063,1124080
1124063,1124077
1124062,1124066
1124062,1124065
1124062,1124063
1124062,1124061
1124062,1124057
1124062,1124058
1124061,1124063
1124061,1124062
1124061,1124057
1124061,1124058
1124061,1124080
1124061,1124077
1124060,1124053
1124060,1124067
1124060,1124065
1124060,1124056
1124060,1124057
1124060,1124059
1124059,1124060
1124059,1124057
1124059,1124058
1124059,1124075
1124059,1125070
1124059,1125067
1124059,1125065
1124059,1124052
1124058,1124062
1124058,1124061
1124058,1124057
1124058,1124059
1124058,1124077
1124058,1124075
